id	token_json
380	"éĸ¢æķ°"
381	"ãģĳ"
382	"æķ´æķ°ãĥªãĤ¹ãĥĪxsãģ"
383	"è¦"
384	"ç´"
385	"è¦ģ"
386	"è¦ģç´"
387	"ãĤī"
388	"resultĠ"
389	"outputĠ"
390	"åıĸ"
391	"solveéĸ¢æķ°"
392	"ĭãĤī"
393	"]ĊĠĠĠĠreturnĠ"
394	"ä¸"
395	"ãģ«"
396	"éł"
397	"ãģłãģĳãĤĴæ®ĭ"
398	"+=Ġ["
399	"Ġ=Ġ[]ĊĠĠĠĠ"
400	"åıĸãĤĬ"
401	"åıĸãĤĬãĢģ"
402	"kãĤĴåı"
403	"¨æķ´æķ°"
404	"Ĺãģĳ"
405	"kãĤĴåıĹãģĳ"
406	"¨æķ´æķ°kãĤĴåıĹãģĳ"
407	"ãĤĭĊĠĠĠĠ"
408	"åĲĦè¦ģç´"
409	"ãģłãģĳãĤĴæ®ĭãģĻ"
410	"]ĊĠĠĠĠ#Ġ"
411	"ãĤĴæĽ"
412	"ãĤĴæĽ¸"
413	"ãģĦãģ¦ãģıãģłãģķãģĦãĢĤ"
414	"solveéĸ¢æķ°ãĤĴæĽ¸"
415	"ãģĹãģ¦ãĢģ"
416	"ãģłãģĳãĤĴæ®ĭãģĻĊĠĠĠĠ"
417	"Ġ=Ġ[xĠ"
418	"Ġ=Ġ[valueĠ"
419	"ãģ®åĢ¤"
420	"åĢį"
421	"ãģĭãĤī"
422	"åĲĦè¦ģç´łãģ"
423	"ãģ¹"
424	"ãģĹãĢģ"
425	"resultĊ"
426	"outputĊ"
427	"åĢĭ"
428	"åĩ"
429	"åĩº"
430	":ĊĠĠĠĠĠĠĠĠĠĠĠĠ"
431	":ĊĠĠĠĠĠĠĠĠifĠ"
432	"éłĨ"
433	"result:Ġlist[int]"
434	"output:Ġlist[int]"
435	"]ĊĠĠĠĠreturnĠresultĊ"
436	"]ĊĠĠĠĠreturnĠoutputĊ"
437	"ãģį"
438	"Ġ=Ġ[]ĊĠĠĠĠforĠxĠinĠ"
439	"resultĠ+=Ġ["
440	"outputĠ+=Ġ["
441	"Ġ=Ġ[]ĊĠĠĠĠforĠvalueĠinĠ"
442	"å¾"
443	"Ġ2"
444	"->Ġlist[int]:ĊĠĠĠĠ#Ġ"
445	"å¾Į"
446	"ä¸¦"
447	"ä»"
448	"ãĤĭsolveéĸ¢æķ°ãĤĴæĽ¸"
449	"ä»¥"
450	"ä»¥ä¸"
451	"Ġ=Ġ[xĠforĠxĠinĠ"
452	"0Ġ"
453	"Ġ=Ġ[valueĠforĠvalueĠinĠ"
454	"==Ġ"
455	"kåĢĭ"
456	"ãģĹãģ¦ãģıãģłãģķãģĦãĢĤ"
457	"è£"
458	"®Ł"
459	"ãĤĴå®Ł"
460	"ħãģĹãģ¦ãģıãģłãģķãģĦãĢĤ"
461	"ãĤĴå®Łè£"
462	"åħ"
463	"æľ"
464	"ãģĿ"
465	"ãĤĴåıĸ"
466	"łãĤĴ"
467	"ä¸¦ãģ¹"
468	"#Ġk"
469	"éłĨãģ«"
470	"ãģĻãĤĭĊĠĠĠĠ"
471	"ãĤĪ"
472	"ed"
473	"solveéĸ¢æķ°ãĤĴå®Łè£"
474	"kãĤĴå"
475	"å°"
476	"ĠkĠ"
477	"ãĤĴé"
478	"éłŃ"
479	"::"
480	"åħĪ"
481	"åħĪéłŃ"
482	"ãģĭãĤīkåĢĭ"
483	"éłĨãģ«ä¸¦ãģ¹"
484	"ãģĿãģ®"
485	"ãĤĪãĤĬ"
486	"resultĠifĠ"
487	"outputĠifĠ"
488	"»¢"
489	"è»¢"
490	"]ĊĠĠĠĠresult"
491	"]ĊĠĠĠĠoutput"
492	"åĲĦè¦ģç´łãĤĴ"
493	"kĠ"
494	"outputĠ=Ġ"
495	"resultĠ=Ġ"
496	"kä»¥ä¸"
497	"Ń£"
498	"ãĤĴåıį"
499	"ted"
500	"sor"
501	"sorted"
502	"ãĤĴåıįè»¢"
503	"æŃ£"
504	"ãģĿãģ®å¾Į"
505	")ĊĠĠĠĠ"
506	"%Ġ2"
507	"è²"
508	"ĠifĠ"
509	"ãĤĴæĬ"
510	"½åĩº"
511	"¤§"
512	"åĲĦè¦ģç´łãģ®"
513	"¤§ãģį"
514	"xsĠifĠ"
515	"ãĤĴæĬ½åĩº"
516	"çµ"
517	"ãģĻãĤĭsolveéĸ¢æķ°ãĤĴæĽ¸"
518	"xs:ĊĠĠĠĠĠĠĠĠifĠ"
519	"ķãģ"
520	"ä¹"
521	"ä¹Ĺ"
522	"łãģ®"
523	"ãĤĭsolveéĸ¢æķ°ãĤĴå®Łè£"
524	"Ġ=Ġ"
525	"ãĤĴåĪ"
526	"*Ġ"
527	"<Ġ"
528	">Ġ"
529	"åĲĦè¦ģç´łãģ«"
530	"ãģ§"
531	"åĢ¤ãģłãģĳãĤĴæ®ĭãģĻĊĠĠĠĠ"
532	":ĊĠĠĠĠĠĠĠĠresultĠ+=Ġ["
533	":ĊĠĠĠĠĠĠĠĠoutputĠ+=Ġ["
534	"ıãģ"
535	"å¤§ãģį"
536	"ģ¸"
537	"ãģĭãĤīkåĢĭãĤĴåıĸ"
538	"ãĥŃ"
539	"¼ãĥŃ"
540	"ãĤ¼ãĥŃ"
541	"ãģ®åĢį"
542	"ãģ®åĢįæķ°"
543	"]ĊĠĠĠĠ#Ġk"
544	"==Ġ0"
545	"è²łãģ®"
546	"0Ġ==Ġ"
547	"se"
548	"ĩãĤĬ"
549	"*Ġ2"
550	"kãĤĴ"
551	"reve"
552	"rever"
553	"ãģ¦ãģ®"
554	"ãĤĴåĪĩãĤĬ"
555	"åģ"
556	"¶æķ°"
557	"åģ¶æķ°"
558	"çµ¶"
559	"¥ĩ"
560	"å¥ĩ"
561	"å¥ĩæķ°"
562	"å¯"
563	"å¯¾"
564	"2åĢį"
565	"çµ¶å¯¾"
566	"çµ¶å¯¾åĢ¤"
567	"[::"
568	"ãģĻãģ¹"
569	"æŃ£ãģ®åĢ¤"
570	"ĭãģ®åĢ¤"
571	"ıãģķãģĦ"
572	"äº"
573	"æķ´æķ°ãĥªãĤ¹ãĥĪxsãģĭãĤī"
574	"sorted("
575	"ãĤĴéģ¸"
576	"äºĮ"
577	"äºĮä¹Ĺ"
578	"ãģ®ãģ"
579	"ãĤĤ"
580	"å¤§ãģįãģĦ"
581	"æľ«"
582	"ãģĻsolveéĸ¢æķ°ãĤĴæĽ¸"
583	"å°¾"
584	"æľ«å°¾"
585	"ãģĻãģ¹ãģ¦ãģ®"
586	"ãģĪ"
587	"¦åı"
588	"¬¦åı"
589	"ç¬¦åı"
590	"ç¬¦åı·"
591	"kãĤĴåĬ"
592	"kãĤĪãĤĬ"
593	"kãĤĴå¼"
594	"ãģ®ãģ¿"
595	"ãģĹãĢģãģĿãģ®å¾Į"
596	"output:ĊĠĠĠĠĠĠĠĠifĠ"
597	"result:ĊĠĠĠĠĠĠĠĠifĠ"
598	"çĽ"
599	"éłħ"
600	"çĽ®"
601	"éłħçĽ®"
602	"ãģ³"
603	"łãģĪ"
604	"kãĤĴåĬłãģĪ"
605	"Ĭãģį"
606	":k"
607	"å°ıãģķãģĦ"
608	"*Ġ3"
609	"åĩºãģĹãģ¦ãĢģ"
610	"kãģ®åĢįæķ°"
611	"ç¬¦åı·ãĤĴåıįè»¢"
612	"<=Ġ"
613	">=Ġ"
614	"Ļį"
615	"[0"
616	"kä»¥ä¸Ĭ"
617	",Ġ"
618	"se="
619	"reverse="
620	",Ġreverse="
621	"éłĨãģ«ä¸¦ãģ¹ãĤĭĊĠĠĠĠ"
622	"resultĠ+=Ġ[x"
623	"outputĠ+=Ġ[x"
624	"resultĠ+=Ġ[value"
625	"ãģ¦ãģĭãĤī"
626	"outputĠ+=Ġ[value"
627	"[-"
628	"xĠ%Ġ2"
629	"ãģ£"
630	"valueĠ%Ġ2"
631	"!=Ġ"
632	"ab"
633	"s("
634	"abs("
635	"ä¿"
636	"ä¿Ŀ"
637	"[-k"
638	"-1"
639	"[::-1"
640	"ĠkĠforĠvalueĠinĠ"
641	"ĠkĠforĠxĠinĠ"
642	"*Ġ2Ġ"
643	"ãģĬãģį"
644	"ãģĬãģįãģ«"
645	"ãģĭãĤī1"
646	"ãģĭãĤī1åĢĭ"
647	"]ĊĠĠĠĠ#ĠåĲĦè¦ģç´łãĤĴ"
648	"ãģĭãĤī1åĢĭãģĬãģįãģ«"
649	"ĺĩ"
650	"kä»¥ä¸ĭãģ®åĢ¤"
651	"ãĤ¿"
652	"è¦ģç´ł"
653	"->Ġlist[int]:ĊĠĠĠĠ#Ġk"
654	"åĲĦè¦ģç´łãģĭãĤī"
655	"Ġ=Ġ[xĠforĠxĠinĠxsĠifĠ"
656	"ãĤĴä¿Ŀ"
657	"åĲĦè¦ģç´łãģ®çµ¶å¯¾åĢ¤"
658	"output:Ġlist[int]Ġ=Ġ"
659	"æľĢ"
660	"result:Ġlist[int]Ġ=Ġ"
661	"åĲĦè¦ģç´łãģĭãĤīkãĤĴå¼"
662	"īåĢį"
663	"ä¸īåĢį"
664	"åħĪéłŃãģĭãĤīkåĢĭãĤĴåıĸ"
665	"3åĢį"
666	"ãģķãģ"
667	"ãģķãģĽ"
668	"æľĢå¾Į"
669	"kãĤĴæ"
670	"ãģĭ"
671	"çı"
672	"çı¾"
673	"ķãģı"
674	"]ĊĠĠĠĠresultĠ=Ġ"
675	"]ĊĠĠĠĠoutputĠ=Ġ"
676	"åľ"
677	"åľ¨"
678	"çı¾åľ¨"
679	"çı¾åľ¨ãģ®"
680	"åĲĦè¦ģç´łãģ«kãĤĴåĬłãģĪ"
681	"æľ«å°¾ãģĭãĤīkåĢĭãĤĴåıĸ"
682	"®Ĺ"
683	"ç®Ĺ"
684	"ãĤĴéģ¸ãģ³"
685	"ãĤĮ"
686	"x:ĊĠĠĠĠĠĠĠĠĠĠĠĠ"
687	"æľĢå¾Įãģ«"
688	"value:ĊĠĠĠĠĠĠĠĠĠĠĠĠ"
689	"ãģĻãĤĭĊĠĠĠĠresult"
690	"Ġ=Ġ[]ĊĠĠĠĠforĠxĠinĠxs"
691	"ãģĻãĤĭĊĠĠĠĠoutput"
692	"sorted(xs"
693	"ãģ£ãģ¦ãĢģ"
694	")ĊĠĠĠĠreturnĠ"
695	"ãģ®ãģ¿ãĤĴæ®ĭ"
696	"ãĤĴä¸īåĢį"
697	"åĢ¤ãĤĴå"
698	"ªæ"
699	"kæľ"
700	"ºĢ"
701	"ªæºĢ"
702	"kæľªæºĢ"
703	"ãĥ¼"
704	"*Ġ3Ġ"
705	"åº"
706	"éłĨåº"
707	"éłĨåºı"
708	"kæľªæºĢãģ®åĢ¤"
709	"ĩãĥ¼"
710	"ãĥĩãĥ¼"
711	"ãĥĩãĥ¼ãĤ¿"
712	"sorted(output"
713	"sorted(result"
714	"æĮ"
715	"]ĊĠĠĠĠoutput:Ġlist[int]"
716	"ãĤĴ2åĢį"
717	"İĽ"
718	"kãĤĴæİĽ"
719	"kãĤĴæİĽãģĳ"
720	"]ĊĠĠĠĠresult:Ġlist[int]"
721	"]ĊĠĠĠĠ#ĠkãĤĪãĤĬ"
722	"ãģ«kãĤĴ"
723	"Ġ=Ġ[-"
724	"]ĊĠĠĠĠ#Ġkä»¥ä¸"
725	"ãģłãģĳãĤĴæ®ĭãģĹãĢģ"
726	"Ġk:ĊĠĠĠĠĠĠĠĠĠĠĠĠ"
727	":ĊĠĠĠĠĠĠĠĠoutputĠ+=Ġ[xĠ"
728	"0:ĊĠĠĠĠĠĠĠĠĠĠĠĠ"
729	":ĊĠĠĠĠĠĠĠĠresultĠ+=Ġ[xĠ"
730	"åĲĦæķ°"
731	"ãģŁ"
732	"æĽ"
733	"æĽ¿"
734	"æĽ¿ãģĪ"
735	"ãģ¦ãģĭãĤīãĢģ"
736	"valueĠforĠvalueĠinĠ"
737	"==Ġ0:ĊĠĠĠĠĠĠĠĠĠĠĠĠ"
738	"Ġ=Ġ[abs("
739	"ãĢģãģĿãģ®å¾Į"
740	"xĠforĠxĠinĠ"
741	"åĪ"
742	"åĲĦéłħçĽ®"
743	"kãĤĪãĤĬãĤĤ"
744	"ãģĭãģĳ"
745	"åĲĦè¦ģç´łãģ«kãĤĴæİĽãģĳ"
746	"ãĤĴè"
747	"è²łãģ®æķ°"
748	"ãĤĵ"
749	"ãĤĵãģ§"
750	"å¤§ãģįãģĦåĢ¤"
751	"[0:k"
752	"æĺĩ"
753	"[:k"
754	"<=Ġk"
755	"0Ġ<Ġ"
756	"kĠ>=Ġ"
757	"kĠ<Ġ"
758	"ãĤģ"
759	"ãģª"
760	"ķãģıĊĠĠĠĠ"
761	"ãģ«ãģĹãģ¦ãĢģ"
762	"ãĤĴéĻį"
763	"%ĠkĠ"
764	"kĠ>Ġ"
765	"0Ġ>Ġ"
766	"Fal"
767	",Ġreverse=Fal"
